iter	Logloss
0	0.6482155064
1	0.6092817732
2	0.5758510897
3	0.5461197452
4	0.5203605221
5	0.4980721532
6	0.4788166388
7	0.461911408
8	0.4468051642
9	0.4335843797
10	0.4222182927
11	0.4120392291
12	0.4030064484
13	0.3956420201
14	0.3883293108
15	0.3822528502
16	0.3765202656
17	0.3713918728
18	0.3669138765
19	0.3629562097
20	0.3591365851
21	0.3555940581
22	0.3528238293
23	0.3498777069
24	0.3475752399
25	0.345270159
26	0.342982573
27	0.3410682896
28	0.339252548
29	0.3375871175
30	0.3360363188
31	0.3345697254
32	0.3333074602
33	0.3319751345
34	0.3309180249
35	0.3297819514
36	0.3287068801
37	0.3278302409
38	0.3269190848
39	0.3261338549
40	0.3254203637
41	0.3247329412
42	0.3240568266
43	0.3234275832
44	0.3228466138
45	0.3223060555
46	0.3218070359
47	0.3213507584
48	0.3209059962
49	0.3204904301
50	0.3201205977
51	0.3197542686
52	0.3194072886
53	0.3190733604
54	0.3187926413
55	0.318524137
56	0.318260593
57	0.318007423
58	0.3177599226
59	0.3175286323
60	0.3173090549
61	0.3171042558
62	0.3169116618
63	0.3167249736
64	0.316551194
65	0.3163934985
66	0.3162421371
67	0.3160942112
68	0.3159583701
69	0.3158392818
70	0.3157153553
71	0.3156087453
72	0.3155074715
73	0.3153899526
74	0.3152824145
75	0.3151998717
76	0.3151073618
77	0.3150216859
78	0.3149432974
79	0.3148603167
80	0.3147873787
81	0.314724063
82	0.3146554478
83	0.314594341
84	0.3145357356
85	0.3144879189
86	0.3144317801
87	0.3143734422
88	0.3143304598
89	0.3142861076
90	0.3142484887
91	0.3142050026
92	0.3141682981
93	0.3141311597
94	0.3140963503
95	0.3140633545
96	0.3140347687
97	0.314000777
98	0.3139775739
99	0.3139473761
100	0.3139192592
101	0.3138916965
102	0.3138721246
103	0.3138462321
104	0.3138227132
105	0.3138035598
106	0.3137890315
107	0.3137780471
108	0.3137559349
109	0.313732075
110	0.3137179672
111	0.3137064267
112	0.3136930804
113	0.3136744424
114	0.3136678893
115	0.3136510746
116	0.3136435121
117	0.3136260095
118	0.3136145872
119	0.3136091948
120	0.313600894
121	0.313584308
122	0.3135765381
123	0.3135734301
124	0.3135691228
125	0.3135589309
126	0.313549392
127	0.3135405661
128	0.313534544
129	0.3135249527
130	0.3135261715
131	0.3135137746
132	0.3135100834
133	0.3135073765
134	0.3135018349
135	0.3134913543
136	0.3134870605
137	0.3134798487
138	0.313481143
139	0.3134728171
140	0.3134673859
141	0.313459182
142	0.3134592111
143	0.3134567852
144	0.3134552389
145	0.3134522724
146	0.3134482461
147	0.3134418848
148	0.3134383099
149	0.3134347021
150	0.3134328168
151	0.3134317627
152	0.3134271124
153	0.3134253724
154	0.3134167035
155	0.3134127759
156	0.3134108751
157	0.3134072207
158	0.3134042542
159	0.3134040992
160	0.3134012277
161	0.3133984375
162	0.3134018032
163	0.3133946398
164	0.3133882902
165	0.3133879356
166	0.3133878135
167	0.3133858991
168	0.3133824289
169	0.3133831322
170	0.3133792957
171	0.3133798692
172	0.3133766489
173	0.3133803711
174	0.313376306
175	0.3133777786
176	0.3133739285
177	0.3133709562
178	0.3133709484
179	0.3133677785
180	0.3133671701
181	0.3133672359
182	0.3133629925
183	0.3133634692
184	0.3133640466
185	0.3133603671
186	0.3133623454
187	0.313358631
188	0.3133557807
189	0.3133514559
190	0.3133483751
191	0.3133525216
192	0.3133486522
193	0.3133493652
194	0.3133445502
195	0.3133465867
196	0.313347135
197	0.3133410509
198	0.3133397352
199	0.3133377395
200	0.3133357883
201	0.3133359879
202	0.3133374953
203	0.3133374411
204	0.3133344417
205	0.3133315236
206	0.313331729
207	0.3133332636
208	0.3133339766
209	0.3133309617
210	0.313330518
211	0.3133277123
212	0.3133258909
213	0.3133244028
214	0.3133257669
215	0.3133264257
216	0.3133253213
217	0.3133273209
218	0.3133229477
219	0.3133232732
220	0.3133250267
221	0.3133225311
222	0.313320142
223	0.3133177335
224	0.3133186461
225	0.3133203474
226	0.3133199831
227	0.3133197312
228	0.3133173324
229	0.3133178827
230	0.3133142264
231	0.3133145888
232	0.3133135153
233	0.3133118257
234	0.3133115719
235	0.3133098881
236	0.3133089115
237	0.3133105449
238	0.3133090723
239	0.3133087895
240	0.313308307
241	0.313306846
242	0.3133073808
243	0.3133032692
244	0.3133011029
245	0.313301254
246	0.3133032672
247	0.3133041004
248	0.3133037245
249	0.313303151
250	0.3133029708
251	0.3133042108
252	0.3133050634
