iter	Passed	Remaining
405	6602	25920
406	6618	25903
407	6632	25881
408	6649	25867
409	6666	25851
410	6682	25833
411	6697	25814
412	6713	25798
413	6729	25779
414	6744	25758
415	6759	25738
416	6775	25722
417	6791	25701
418	6807	25686
419	6825	25677
420	6841	25661
421	6858	25644
422	6874	25630
423	6891	25615
424	6909	25604
425	6923	25581
426	6938	25561
427	6955	25546
428	6972	25531
429	6987	25511
430	7002	25490
431	7019	25477
432	7034	25458
433	7051	25443
434	7067	25425
435	7088	25429
436	7105	25413
437	7120	25393
438	7135	25373
439	7152	25358
440	7167	25338
441	7184	25322
442	7200	25307
443	7216	25289
444	7231	25268
445	7247	25251
446	7263	25234
447	7279	25218
448	7295	25202
449	7311	25182
450	7326	25162
451	7341	25142
452	7357	25125
453	7373	25109
454	7390	25096
455	7406	25077
456	7423	25063
457	7439	25046
458	7455	25029
459	7472	25016
460	7488	25000
461	7504	24984
462	7522	24971
463	7540	24960
464	7556	24943
465	7573	24929
466	7587	24907
467	7603	24889
468	7618	24869
469	7634	24854
470	7651	24837
471	7666	24819
472	7681	24798
473	7698	24783
474	7713	24765
475	7729	24748
476	7745	24729
477	7761	24714
478	7778	24698
479	7794	24682
480	7810	24664
481	7827	24650
482	7841	24629
483	7857	24612
484	7873	24595
485	7889	24578
486	7907	24566
487	7923	24550
488	7939	24532
489	7954	24514
490	7970	24495
491	7986	24479
492	8002	24461
493	8020	24450
494	8035	24431
495	8051	24413
496	8066	24394
497	8082	24378
498	8099	24361
499	8114	24343
500	8131	24330
501	8148	24314
502	8163	24297
503	8181	24286
504	8197	24268
505	8213	24251
506	8229	24235
507	8245	24218
508	8262	24204
509	8277	24184
510	8293	24165
511	8308	24147
512	8323	24127
513	8340	24111
514	8355	24093
515	8371	24075
516	8387	24060
517	8404	24044
518	8420	24027
519	8436	24012
520	8453	23997
521	8468	23978
522	8485	23963
523	8500	23943
524	8516	23927
525	8532	23910
526	8550	23899
527	8566	23882
528	8581	23862
529	8596	23843
530	8613	23828
531	8628	23810
532	8643	23791
533	8659	23772
534	8674	23752
535	8689	23734
536	8705	23715
537	8720	23698
538	8736	23680
539	8752	23663
540	8768	23646
541	8784	23631
542	8801	23617
543	8817	23600
544	8836	23589
545	8852	23573
546	8868	23558
547	8883	23538
548	8898	23518
549	8914	23502
550	8931	23487
551	8948	23472
552	8963	23454
553	8980	23439
554	8995	23421
555	9017	23420
556	9035	23408
557	9052	23393
558	9068	23377
559	9083	23358
560	9099	23340
561	9115	23325
562	9131	23307
563	9147	23290
564	9163	23273
565	9178	23255
566	9194	23237
567	9209	23218
568	9224	23199
569	9240	23181
570	9257	23166
571	9273	23151
572	9291	23138
573	9306	23120
574	9323	23106
575	9340	23090
576	9355	23072
577	9371	23056
578	9387	23038
579	9403	23022
580	9419	23006
581	9436	22990
582	9451	22973
583	9468	22956
584	9482	22936
585	9499	22922
586	9515	22904
587	9532	22890
588	9548	22873
589	9563	22854
590	9578	22836
591	9595	22821
592	9611	22803
593	9627	22787
594	9643	22772
595	9659	22753
596	9675	22737
597	9691	22721
598	9707	22705
599	9723	22689
600	9739	22670
601	9758	22661
602	9777	22652
603	9792	22632
604	9809	22618
605	9826	22603
606	9842	22586
607	9857	22568
608	9873	22551
609	9888	22532
610	9905	22517
611	9921	22500
612	9936	22482
613	9952	22465
614	9967	22446
615	9982	22428
616	9999	22413
617	10017	22401
618	10033	22384
619	10048	22366
620	10063	22347
621	10080	22332
622	10095	22314
623	10112	22298
624	10127	22280
625	10145	22267
626	10160	22250
627	10176	22231
628	10191	22214
629	10207	22197
630	10224	22181
631	10239	22164
632	10256	22149
633	10272	22132
634	10287	22114
635	10304	22099
636	10320	22083
637	10336	22066
638	10351	22048
639	10368	22033
640	10384	22015
641	10399	21998
642	10414	21979
643	10431	21963
644	10446	21946
645	10462	21930
646	10478	21912
647	10493	21893
648	10508	21876
649	10524	21858
650	10541	21843
651	10558	21829
652	10574	21811
653	10589	21793
654	10605	21778
655	10621	21762
656	10637	21745
657	10653	21728
658	10670	21712
659	10685	21694
660	10701	21677
661	10716	21660
662	10733	21644
663	10748	21625
664	10764	21609
665	10779	21592
666	10794	21573
667	10811	21558
668	10827	21542
669	10843	21524
670	10859	21507
671	10873	21488
672	10888	21469
673	10903	21451
674	10919	21434
675	10934	21415
676	10952	21402
677	10967	21385
678	10985	21371
679	11001	21355
680	11016	21336
681	11032	21321
682	11048	21304
683	11063	21285
684	11078	21267
685	11093	21249
686	11109	21232
687	11125	21216
