iter	Passed	Remaining
404	8111	11916
405	8130	11894
406	8149	11873
407	8168	11852
408	8185	11828
409	8208	11811
410	8228	11792
411	8248	11771
412	8267	11750
413	8286	11729
414	8307	11710
415	8326	11688
416	8348	11671
417	8366	11648
418	8385	11628
419	8404	11606
420	8424	11585
421	8445	11567
422	8465	11546
423	8487	11530
424	8507	11509
425	8527	11490
426	8547	11469
427	8567	11450
428	8587	11429
429	8610	11414
430	8634	11399
431	8656	11382
432	8678	11364
433	8698	11344
434	8718	11324
435	8737	11303
436	8757	11282
437	8775	11260
438	8795	11239
439	8813	11217
440	8833	11197
441	8862	11188
442	8884	11170
443	8903	11149
444	8923	11129
445	8941	11106
446	8961	11087
447	8982	11067
448	9004	11050
449	9023	11028
450	9043	11008
451	9063	10988
452	9085	10970
453	9103	10948
454	9124	10929
455	9143	10908
456	9165	10890
457	9184	10868
458	9203	10847
459	9222	10826
460	9243	10807
461	9264	10788
462	9284	10768
463	9306	10750
464	9325	10729
465	9344	10707
466	9363	10686
467	9382	10665
468	9410	10654
469	9444	10650
470	9478	10646
471	9511	10640
472	9541	10630
473	9562	10611
474	9581	10589
475	9600	10568
476	9626	10555
477	9649	10537
478	9669	10517
479	9687	10494
480	9707	10474
481	9726	10452
482	9745	10431
483	9763	10409
484	9784	10389
485	9804	10368
486	9824	10348
487	9843	10327
488	9863	10306
489	9882	10285
490	9900	10263
491	9931	10254
492	9953	10235
493	9972	10214
494	9994	10196
495	10018	10180
496	10040	10162
497	10066	10147
498	10089	10130
499	10111	10111
500	10133	10093
501	10155	10075
502	10177	10055
503	10195	10033
504	10213	10010
505	10230	9988
506	10252	9969
507	10273	9949
508	10292	9928
509	10313	9908
510	10332	9887
511	10351	9866
512	10372	9846
513	10390	9824
514	10415	9808
515	10435	9788
516	10456	9768
517	10483	9754
518	10513	9743
519	10531	9721
520	10551	9700
521	10572	9681
522	10595	9663
523	10616	9644
524	10637	9624
525	10661	9607
526	10683	9589
527	10703	9568
528	10723	9547
529	10746	9529
530	10764	9507
531	10785	9488
532	10805	9467
533	10824	9445
534	10845	9426
