iter	Logloss
0	0.6302785714
1	0.5783951962
2	0.535254069
3	0.5010553571
4	0.4719059849
55	0.4488534016	6	0.4282957687	7	0.4123342078	8	0.3985072149	9	0.3865693561010	0.3755855376
11	0.3659796666
12	0.3580824312
13	0.3508330171
14	0.3446440104
15	0.3394739002
16	0.3349219727
17	0.3306938105
18	0.3263680571919	0.3228010922020	0.3194831402121	0.3166078472222	0.3139191623	23	0.311322424	024	0.30901025	0.25	0.3067848447
26	0.304768471
27	0.3027439197228	0.3010655459229	0.29970530	0330	0.2982066848331	0.29680632	0332	0.2954633278333	0.29426134	0334	0.2933725214335	0.2923469494336	0.2913234328337	0.2904088309338	0.289353394739	0.2888090355
40	0.2879221563
41	0.2871336542
42	0.2864015811
43	0.2858187384
44	0.2852112863
45	0.2846109235
46	0.2840820406
47	0.2835316267
48	0.2830687779
49	0.2826113932550	0.282186044551	0.2817385719
52	0.2812866722
53	0.2808489002
54	0.28043647
5555	0.2802405656	0.2798048435757	0.2794890951
58	58	0.279363151
59	0.2790632557
60	0.2788507603
61	0.2786399062	62	0.278380763	0.2775374953
64	0.2773390044
65	0.2770940778666	0.2769106143667	0.2767260696668	0.2765513765
69	0.2763052897
70	70	0.276770171	071	0.27658572	0.72	0.2764073	0.273	0.27674	0.27574	0.275	0.2753575	0.276	0.2751552339
77	0.275042527
78	0.2749278	0.279	0.2748079	0.280	0.2746434919
81	0.2745281	0.282	0.2743882	0.283	0.2742883	0.284	0.2742184	0.285	0.2741085	0.2747192243
86	0.2746408412
87	0.2745431222
88	0.2744458845
89	0.290	0.2736090	0.91	0.27350091	0.92	0.27344192	0.93	0.27336893	094	0.273294194	095	0.273227295	096	0.273143996	097	0.273112097	098	0.2730564128
99	0.2729736677
100	0.2728933501
101	0.2728541155
102	0.2728010463
103	0.2727535412
104	0.2727031366
105	0.2726394136
106	0.2726019136
107	0.2725581334
108	0.272517806
109	0.2724824056
110	0.2724452172
111	0.2724106027
