iter	Passed	Remaining
403	25532	100866
404	25603	100835
405	25666	100770
406	25748	100780
407	25825	100769
408	25883	100685
409	25942	100605
410	26013	100573
411	26085	100542
412	26139	1004441413	26212	1004141414	26273	10034415	26328	100252
416	26402	100226
417	26480	100220
418	26530	100107
4419	26571	999604420	26661	99997
421	26755	100046
422	26806	99937
423	26850	998042424	26900	9968425	27000	99763
426	27071	99725
427	27138	99675
428	27209	99640
42429	27239	994543430	27306	994043431	27356	992943432	27456	993643433	27534	993543434	27605	99314
435	27685	99313
436	27763	99300
437	27839	99281
438	27927	99306
439	28024	99358
440	28099	99335
441	28167	99286
442	28241	99259
443	28314	99229
444	28400	99242
445	28487	99258
446	28536	99142
447	28599	99076
448	28656	98988
449	28739	98993
450	28843	99065
451	28950	99147
452	29040	99172
453	29080	99028
454	29136	98937
455	29208	98900
456	29288	98889
457	29398	98979
458	29461	98911
459	29524	98843
460	29572	98723
461	29653	98715
462	29681	98532
463	29737	98441
464	29805	98388
465	29857	98286
466	29920	98217
467	29969	981046468	30011	979746469	30080	979247470	30150	978747471	30239	978947472	30302	978247473	30339	9767474	30435	97714
475	30516	97704
476	30594	97683
477	30679	97686
478	30725	97566
479	30782	97476
480	30867	97480
481	30932	97419
482	30993	97344
483	31050	97256
484	31114	97192
485	31166	97089
486	31232	97032
487	31289	96946
488	31347	96862
489	31406	96782
490	31455	96672
491	31524	96624
492	31593	96575
493	31639	96454
494	31712	96420
495	31775	96350
496	31829	96256
497	31886	96170
498	31931	96050
499	31974	95923
500	32026	95824
501	32084	95743
502	32142	95661
503	32182	95526
504	32223	95392
505	32272	95288
506	32331	95207
507	32393	95139
508	32473	95123
509	32556	95117
510	32621	95056
511	32697	95027
512	32744	94914
513	32788	94794
514	32845	94709
515	32897	94611
516	32970	94573
517	33064	94596
518	33142	94573
519	33214	94532
520	33292	94509
521	33351	94430
522	33405	94341
523	33476	94297
524	33550	94260
525	33608	94179
526	33639	94025
527	33703	93962
528	33767	93897
529	33832	93836
530	33907	93804
531	33957	93703
532	34001	93582
533	34053	93488
534	34110	93406
535	34191	93389
536	34255	93324
537	34308	93232
538	34353	93116
539	34417	93054
540	34482	92993
541	34542	92921
542	34597	92833
543	34665	92780
544	34734	92730
545	34791	92650
546	34847	92566
547	34926	92542
548	34988	92473
549	35055	92420
550	35140	92411
551	35222	92394
552	35295	92354
553	35355	92280
554	35403	92176
555	35445	92056
556	35526	92036
557	35573	91930
558	35607	91789
559	35642	91652
560	35689	91545
561	35759	91499
562	35811	91405
563	35882	91361
564	35907	91198
565	35981	91161
566	36032	91066
567	36106	91028
568	36187	91008
569	36267	90986
570	36357	90990
571	36443	90982
572	36538	90994
573	36607	90945
574	36696	90944
575	36775	90917
576	36847	90872
577	36928	90852
578	36981	90760
579	37056	90723
580	37157	90751
581	37259	90778
582	37301	90662
583	37435	90768
584	37549	90824
585	37612	90758
586	37700	90751
587	37758	90670
588	37816	90592
589	37883	90535
590	37922	90410
591	37978	90327
592	38020	90210
593	38087	90153
594	38153	90094
595	38252	90111
596	38333	90086
597	38434	90109
598	38499	90046
599	38575	90009
600	38645	89958
601	38706	89885
602	38770	89821
603	38838	89766
604	38920	89742
605	38989	89687
606	39035	89582
607	39071	89452
608	39138	89394
609	39207	89341
610	39280	89297
611	39364	89278
612	39425	89205
613	39503	89172
614	39574	89123
615	39666	89119
616	39747	89093
617	39823	89056
618	39892	89000
619	39964	88952
620	40034	88901
621	40141	88930
622	40226	88910
623	40289	88843
624	40334	88734
625	40381	88632
626	40434	88542
627	40498	88477
628	40574	88438
629	40629	88352
630	40684	88267
631	40756	88220
632	40818	88150
633	40881	88082
634	40934	87993
635	40989	87908
636	41059	87854
637	41100	87742
638	41170	87688
639	41244	87645
640	41330	87626
641	41400	87573
642	41458	87495
643	41529	87444
644	41604	87402
645	41663	87325
646	41725	87255
647	41787	87186
648	41848	87115
649	41905	87034
650	41968	86965
651	42061	86961
652	42132	86909
653	42191	86834
654	42280	86820
655	42360	86788
656	42422	86717
657	42494	86668
658	42580	86646
659	42655	86603
660	42744	86589
661	42828	86563
662	42892	86495
663	42942	86402
664	43007	86337
665	43071	86272
666	43121	86178
667	43187	86115
668	43263	86073
669	43330	86014
670	43385	85929
671	43432	85829
672	43488	85749
673	43532	85644
674	43585	85556
675	43646	85484
676	43722	85442
677	43795	85394
678	43837	85286
679	43876	85172
680	43918	85064
681	43982	84998
682	44037	84916
683	44092	84833
684	44145	84747
685	44196	84656
686	44258	84587
687	44379	84631
688	44471	84618
689	44540	84562
690	44614	84515
691	44659	84415
692	44685	84277
693	44715	84148
694	44751	84029
695	44805	83945
696	44858	83860
697	44913	83778
698	44989	83736
699	45086	83731
700	45182	83726
701	45268	83702
702	45310	83595
703	45379	83540
704	45433	83455
705	45496	83387
706	45583	83364
707	45654	83312
708	45757	83318
709	45804	83223
710	45872	83163
711	45968	83157
712	46031	83088
713	46107	83045
714	46173	82982
715	46237	82917
716	46299	82849
717	46366	82787
718	46449	82755
719	46519	82701
720	46558	82590
721	46583	82456
722	46631	82362
723	46682	82275
724	46744	82206
725	46807	82138
726	46869	82070
727	46934	82005
728	47013	81968
729	47117	81970
730	47201	81940
731	47342	82008
732	47411	81952
733	47465	81868
734	47565	81864
735	47644	81823
736	47699	81742
737	47788	81719
738	47817	81594
739	47869	81508
740	47924	81425
741	48011	81399
742	48085	81350
743	48138	81265
744	48174	81153
745	48236	81083
746	48284	80990
747	48334	80901
748	48405	80847
749	48458	80764
750	48524	80701
751	48581	80624
752	48660	80583
753	48778	80607
754	48849	80553
755	48913	80487
756	48958	80390
757	49021	80322
758	49059	80215
759	49123	80149
760	49185	80080
761	49269	80047
762	49332	79979
763	49417	79947
764	49499	79910
765	49562	79842
766	49635	79791
767	49708	79740
768	49764	79662
769	49822	79586
770	49879	79509
771	49940	79439
772	50042	79433
773	50125	79396
774	50220	79380
775	50245	79253
776	50295	79164
777	50345	79078
778	50405	79005
779	50466	78934
780	50534	78875
781	50586	78790
782	50641	78711
783	50688	78619
784	50749	78549
785	50809	78477
786	50867	78402
787	50937	78346
788	50981	78249
789	51027	78155
790	51075	78066
791	51111	77957
792	51155	77862
793	51226	77807
794	51294	77747
795	51339	77654
796	51415	77607
797	51506	77583
798	51594	77553
799	51660	77491
800	51739	77448
801	51808	77390
802	51888	77348
803	51960	77295
804	52017	77218
805	52063	77126
806	52131	77066
807	52199	77007
808	52269	76950
809	52333	76885
810	52395	76816
811	52465	76760
812	52542	76713
813	52605	76646
814	52673	76586
815	52736	76520
816	52810	76468
817	52873	76401
818	52951	76356
819	53010	76283
820	53071	76213
821	53130	76141
822	53203	76087
823	53259	76010
824	53325	75948
825	53395	75891
826	53472	75844
827	53540	75783
828	53600	75713
829	53651	75629
830	53696	75536
831	53762	75474
832	53822	75402
833	53914	75376
834	53955	75279
835	53997	75183
836	54048	75099
837	54106	75026
838	54175	74967
839	54281	74959
840	54363	74919
841	54438	74869
842	54488	74784
843	54536	74697
844	54587	74614
845	54652	74549
846	54701	74463
847	54758	74388
848	54816	74315
849	54871	74238
850	54932	74168
851	54986	74089
852	55056	74032
853	55125	73974
854	55175	73890
855	55216	73793
856	55269	73714
857	55333	73648
858	55413	73605
859	55492	73560
860	55586	73534
861	55657	73478
862	55722	73413
863	55780	73340
864	55865	73303
865	55940	73251
866	56005	73188
867	56065	73118
868	56128	73051
869	56194	72988
870	56270	72939
871	56335	72874
872	56395	72803
873	56456	72734
874	56527	72678
875	56579	72597
876	56643	72531
877	56693	72449
878	56753	72378
879	56813	72308
880	56872	72235
881	56924	72156
882	56986	72088
883	57047	72019
884	57088	71925
885	57139	71843
886	57195	71768
887	57242	71682
888	57328	71644
889	57407	71598
890	57492	71559
891	57566	71506
892	57621	71430
893	57672	71349
894	57708	71248
895	57772	71183
896	57819	71097
897	57862	71007
898	57920	70934
899	57983	70868
900	58038	70793
901	58076	70695
902	58151	70644
903	58201	70562
904	58277	70512
905	58404	70524
906	58528	70531
907	58620	70499
908	58704	70458
909	58784	70412
910	58858	70358
911	58930	70302
912	58985	70227
913	59062	70176
914	59132	70119
915	59170	70023
916	59212	69931
917	59277	69867
918	59344	69806
919	59438	69775
920	59491	69697
921	59571	69650
922	59631	69581
923	59706	69528
924	59759	69450
925	59843	69407
926	59934	69374
927	59998	69308
928	60061	69241
929	60089	69135
930	60121	69033
931	60184	68967
932	60246	68899
933	60321	68846
934	60402	68801
935	60483	68755
936	60533	68673
937	60595	68605
938	60666	68548
939	60703	68452
940	60746	68364
941	60785	68270
942	60822	68175
943	60872	68094
944	60930	68023
945	60977	67938
946	61047	67880
947	61101	67804
948	61136	67707
949	61181	67622
950	61224	67533
951	61259	67436
952	61318	67366
953	61406	67328
954	61457	67249
955	61534	67198
956	61623	67161
957	61715	67126
958	61761	67042
959	61855	67010
960	61906	66931
961	61965	66861
962	62046	66813
963	62097	66735
964	62158	66667
965	62200	66578
966	62253	66502
967	62329	66450
968	62400	66393
969	62457	66321
970	62501	66235
971	62547	66151
972	62593	66067
973	62654	65999
974	62713	65929
975	62763	65849
976	62832	65790
977	62914	65745
978	63031	65735
979	63073	65648
980	63161	65608
981	63253	65572
982	63319	65509
983	63401	65463
984	63439	65372
985	63509	65312
986	63588	65263
987	63676	65222
988	63761	65179
989	63800	65089
990	63857	65017
991	63914	64945
992	63995	64897
993	64050	64823
994	64106	64750
995	64191	64707
996	64261	64648
997	64320	64578
998	64388	64517
999	64466	64466
1000	64530	64401
1001	64595	64337
1002	64652	64265
1003	64724	64208
1004	64793	64148
1005	64866	64092
1006	64950	64047
1007	65040	64008
1008	65116	63955
1009	65189	63899
1010	65258	63838
1011	65341	63792
1012	65419	63740
1013	65484	63676
1014	65536	63599
1015	65584	63518
1016	65640	63446
1017	65672	63349
1018	65719	63268
1019	65768	63189
1020	65829	63121
1021	65888	63052
1022	65959	62994
1023	65990	62897
1024	66041	62819
1025	66101	62751
1026	66151	62673
1027	66211	62604
1028	66261	62526
1029	66330	62466
1030	66410	62416
1031	66470	62348
1032	66520	62270
1033	66584	62205
1034	66658	62150
1035	66736	62098
1036	66793	62026
1037	66848	61954
1038	66934	61909
1039	67020	61865
1040	67092	61807
1041	67153	61739
1042	67221	61678
1043	67265	61595
1044	67332	61533
1045	67412	61483
1046	67462	61405
1047	67527	61341
1048	67586	61272
1049	67639	61197
1050	67717	61145
1051	67793	61091
1052	67867	61036
1053	67930	60969
1054	67983	60895
1055	68044	60827
1056	68084	60741
1057	68113	60645
1058	68187	60589
1059	68224	60500
1060	68328	60471
1061	68398	60411
1062	68476	60359
1063	68544	60298
1064	68637	60259
1065	68752	60238
1066	68824	60180
1067	68901	60127
1068	68979	60074
1069	69056	60021
1070	69123	59958
1071	69188	59894
1072	69277	59851
1073	69319	59766
1074	69367	59688
1075	69394	59591
1076	69438	59509
1077	69520	59459
1078	69590	59399
1079	69653	59334
1080	69701	59255
1081	69804	59223
1082	69888	59175
1083	69976	59131
1084	70063	59085
1085	70133	59025
1086	70211	58972
1087	70280	58911
1088	70341	58843
1089	70432	58801
1090	70536	58770
1091	70638	58735
1092	70706	58674
1093	70763	58602
1094	70814	58526
1095	70840	58430
1096	70896	58358
1097	70978	58308
1098	71056	58254
1099	71127	58195
1100	71207	58143
1101	71323	58120
1102	71469	58121
1103	71563	58080
1104	71619	58008
1105	71690	57948
1106	71745	57876
1107	71807	57808
1108	71861	57735
1109	71919	57664
1110	71967	57586
1111	72056	57541
1112	72132	57485
1113	72201	57424
1114	72249	57345
1115	72308	57276
1116	72388	57224
1117	72466	57169
1118	72540	57111
1119	72605	57047
1120	72661	56975
1121	72733	56916
1122	72775	56833
1123	72825	56756
1124	72897	56697
1125	72969	56639
1126	73049	56585
1127	73120	56525
1128	73149	56433
1129	73204	56361
1130	73251	56282
1131	73317	56218
1132	73387	56157
1133	73462	56100
1134	73524	56034
1135	73594	55973
1136	73651	55902
1137	73716	55838
1138	73776	55769
1139	73842	55705
1140	73935	55662
1141	74012	55606
1142	74060	55529
1143	74145	55479
1144	74211	55415
1145	74261	55339
1146	74299	55255
1147	74350	55179
1148	74420	55118
1149	74511	55073
1150	74580	55012
1151	74670	54966
1152	74717	54887
